"osm_id","name","ref","highway","aadt","roadtype","road_importance","urban"
"3871520",NA,NA,"unclassified",NA,"minor",3,1
"3871523",NA,NA,"tertiary",NA,"minor",1,1
"3981057","St Vincents Road",NA,"residential",NA,"minor",2,1
"4060218","Main Road","A3056","primary",NA,"major",1,0
"4287208","Sibden Road",NA,"unclassified",NA,"minor",3,1
"4287209","Esplanade Road",NA,"unclassified",NA,"minor",2,1
"4414316","Wilmingham Lane",NA,"tertiary",NA,"minor",5,0
"4419002","Main Road","B3323","secondary",2288,"minor",3,0
"4419076","High Street","B3401","secondary",NA,"minor",2,1
"4419096","Chine Avenue","B3328","secondary",NA,"minor",1,1
"4419097","Chine Avenue",NA,"unclassified",NA,"minor",3,1
"4419116","Pyle Street","B3323","secondary",12343,"minor",2,1
"4419117","Pyle Street",NA,"unclassified",NA,"minor",4,1
"4419118","Pyle Street",NA,"unclassified",NA,"minor",5,1
"4419126","Garfield Road",NA,"residential",NA,"minor",4,1
"4419127","Garfield Road",NA,"primary",NA,"major",2,1
